A,B,Size,Source,Note,
Anthony Lacavera,Globalive,2,,,
Anthony Lacavera,WIND Mobile,2,,,
Anthony Lacavera,Life Engineer.ai,2,,,
Brice Scheschuk,Globalive,2,,,
Brice Scheschuk,WIND Mobile,2,,,
Michael Katchen,Wealth Simple,2,,,
Michael Katchen,Canadian Business Council,2,,,
Michael Katchen,Build Canada,2,,,
Brice Scheschuk,Build Canada,2,,,
Anthony Lacavera,Build Canada,2,,,
Katherine Homuth,Build Canada,2,,,
Katherine Homuth,SRTX,2,,,
Justin Sky,Build Canada,2,,,
Justin Sky,Rose Rocket,2,,,
Donna Litt,Uvaro,2,,,
Donna Litt,Uvaro,2,,,
Joseph Fung,Uvaro,2,,,
Derek Hall,Uvaro,2,,,
Donna Litt,Joseph Fung,2,,,
Michael Litt,Build Canada,2,,,
Michael Litt,Garage Capital,2,,,
Michael Litt,Donna Litt,2,https://donnamlitt.substack.com/p/litt-wit-newsletter,,
Nic Beique,Build Canada,2,,,
Nic Beique,Helcim,2,,,
Rob Khazzam,Build Canada,2,,,
Rob Khazzam,Float,2,,,
Satish Kanwar,Build Canada,2,,,
Satish Kanwar,Good Future,2,,,
Satish Kanwar,Shopify,2,,,
Stephen Lake,Build Canada,2,,,
Stephen Lake,Jetson,2,,,
Stephen Lake,North,2,,,
Build Toronto,Build Canada,2,https://buildtoronto.com/about,,
Eric Lombardi,Build Toronto,2,https://buildtoronto.com/about,,
Eric Lombardi,Build Toronto,2,https://buildtoronto.com/about,,
Daniel Debow,Build Toronto,2,https://buildtoronto.com/about,,
Lucy Hargreaves,Build Toronto,2,https://buildtoronto.com/about,,
Mike Murchison,Build Toronto,2,https://buildtoronto.com/memos,,
Tarun Sachdeva,Build Toronto,2,https://buildtoronto.com/memos,,
Farhan Thawar,Build Toronto,2,https://buildtoronto.com/memos,,
Jamie McDonald,Build Toronto,2,https://buildtoronto.com/memos,,
Josh Domingues,Build Toronto,2,https://buildtoronto.com/memos,,
Alan Gertner,Build Toronto,2,https://buildtoronto.com/memos,,
Tarun Sachdeva,Market.Dev,2,https://buildtoronto.com/memos,,
Josh Domingues,Flashfood,2,https://buildtoronto.com/memos,,
Alan Gertner,Arcana,2,https://buildtoronto.com/memos,,
Evan Solomon,AI Strategy Task Force,2,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Joelle Pineau,AI Strategy Task Force,2,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Daniel Debow,AI Strategy Task Force,2,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Michael Serbinis,AI Strategy Task Force,2,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Evan Solomon,Liberal Party of Canada,2,https://en.wikipedia.org/wiki/Evan_Solomon,,
Gwyn Morgan,Fraser Institute,2,https://www.fraserinstitute.org/about-us/team,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
